# SUBTLEX-US word frequencies — the 20,000 most frequent surface forms.
#
# Brysbaert, M., & New, B. (2009). Moving beyond Kučera and Francis: A critical
# evaluation of current word frequency norms and the introduction of a new and
# improved word frequency measure for American English. Behavior Research
# Methods, 41(4), 977–990. https://doi.org/10.3758/BRM.41.4.977
#
# Corpus: 51 million words of American English film and television subtitles.
# Obtained through the ISC-licensed repackaging words/subtlex-word-frequencies
# (github.com/words/subtlex-word-frequencies, commit 1b16b4c, 2020-02-13), which
# keeps the Word and FREQcount columns of SUBTLEXus74286wordstextversion.txt.
# The authors permit redistribution of SUBTLEX-US for any purpose. This file is
# that list sorted by count, truncated to the first 20,000 rows, on 2026-09-12.
#
# Columns: rank, word, count. A word is capitalized when the corpus more often
# capitalizes it than not ("I", "Mr", "Congratulations"). Contraction fragments
# ("s", "t", "don") are present because the source splits on apostrophes.
# Surface forms, not lemmas. Generated — do not edit by hand.
1110	killer	3206
1111	listening	3205
1112	doubt	3205
1113	upon	3199
1114	double	3198
1115	twice	3191
1116	whose	3187
1117	outta	3185
1118	plenty	3178
1119	guilty	3177
1120	Jerry	3173
1121	promised	3169
1122	fired	3159
1123	race	3157
1124	crap	3151
1125	chicken	3148
1126	bathroom	3145
1127	asshole	3142
1128	spot	3140
1129	reading	3133
1130	orders	3130
1131	weekend	3118
1132	Detective	3117
1133	action	3115
1134	Sheriff	3115
1135	eating	3102
1136	glass	3096
1137	type	3093
1138	guns	3092
1139	experience	3088
1140	West	3088
1141	obviously	3082
1142	wine	3078
1143	Luke	3071
1144	press	3070
1145	difficult	3068
1146	lots	3068
1147	Brown	3066
1148	Nick	3062
1149	rid	3052
1150	sea	3052
1151	arms	3050
1152	flight	3044
1153	staying	3040
1154	arrest	3037
1155	neck	3035
1156	grow	3034
1157	mention	3033
1158	favorite	3032
1159	wind	3028
1160	sleeping	3027
1161	notice	3022
1162	admit	3019
1163	extra	3017
1164	within	3017
1165	low	3016
1166	impossible	3015
1167	gay	3013
1168	computer	3011
1169	angry	3008
1170	bunch	3003
1171	blame	2998
1172	pants	2996
1173	visit	2993
1174	clock	2990
1175	tea	2990
1176	fellow	2987
1177	kitchen	2974
1178	lay	2970
1179	hole	2969
1180	guard	2968
1181	learned	2964
1182	smile	2958
1183	feelings	2938
1184	fit	2937
1185	pal	2937
1186	bear	2928
1187	often	2925
1188	wild	2923
1189	silly	2912
1190	camera	2907
1191	begin	2906
1192	reach	2903
1193	Ow	2903
1194	beach	2888
1195	Larry	2888
1196	heaven	2887
1197	lock	2885
1198	leg	2882
1199	quickly	2881
1200	lights	2877
1201	Kelly	2876
1202	worst	2874
1203	shooting	2871
1204	played	2870
1205	plans	2867
1206	bucks	2866
1207	suddenly	2854
1208	writing	2852
1209	track	2843
1210	teacher	2842
1211	ridiculous	2836
1212	legs	2835
1213	river	2829
1214	dare	2826
1215	burn	2816
1216	raise	2815
1217	Aunt	2815
1218	Shh	2810
1219	n	2810
1220	Rory	2809
1221	surprised	2808
1222	decision	2808
1223	cross	2807
1224	cost	2801
1225	queen	2789
1226	fresh	2780
1227	innocent	2780
1228	emergency	2776
1229	medical	2774
1230	dancing	2774
1231	cell	2772
1232	gotten	2768
1233	seemed	2767
1234	bigger	2765
1235	States	2759
1236	closed	2758
1237	names	2746
1238	walked	2737
1239	bomb	2736
1240	hanging	2735
1241	note	2731
1242	shop	2731
1243	sweetie	2731
1244	nuts	2729
1245	band	2724
1246	losing	2722
1247	price	2722
1248	steal	2720
1249	waste	2716
1250	client	2715
1251	stole	2711
1252	crying	2709
1253	pressure	2709
1254	code	2709
1255	places	2706
1256	dogs	2704
1257	Rose	2704
1258	dick	2703
1259	accept	2692
1260	further	2690
1261	excellent	2688
1262	Aah	2688
1263	magic	2687
1264	drinking	2685
1265	keeps	2681
1266	corner	2679
1267	consider	2676
1268	ourselves	2676
1269	herself	2675
1270	acting	2675
1271	locked	2670
1272	laughing	2667
1273	address	2666
1274	copy	2666
1275	tells	2665
1276	warm	2659
1277	sold	2655
1278	pregnant	2653
1279	hall	2649
1280	treat	2646
1281	everywhere	2641
1282	Van	2641
1283	papers	2638
1284	complete	2636
1285	cup	2634
1286	ways	2633
1287	level	2633
1288	passed	2631
1289	witness	2621
1290	eh	2619
1291	taste	2617
1292	motherfucker	2616
1293	hardly	2613
1294	camp	2612
1295	keeping	2608
1296	Charles	2606
1297	keys	2601
1298	Yep	2600
1299	beg	2600
1300	duty	2599
1301	Ms	2599
1302	interest	2598
1303	tight	2597
1304	helping	2588
1305	bottle	2588
1306	support	2587
1307	Leo	2580
1308	flying	2579
1309	F	2579
1310	decide	2571
1311	United	2564
1312	St	2562
1313	turns	2552
1314	moon	2548
1315	bottom	2546
1316	hoping	2544
1317	conversation	2543
1318	San	2543
1319	hero	2542
1320	asleep	2541
1321	Roger	2540
1322	final	2533
1323	continue	2527
1324	East	2527
1325	match	2521
1326	apologize	2518
1327	trial	2518
1328	spirit	2517
1329	willing	2512
1330	chair	2511
1331	U	2506
1332	risk	2501
1333	study	2501
1334	Amy	2498
1335	possibly	2494
1336	rain	2494
1337	above	2493
1338	cousin	2491
1339	pulled	2488
1340	cream	2484
1341	dropped	2482
1342	excited	2479
1343	memory	2477
1344	breathe	2474
1345	enemy	2474
1346	huge	2467
1347	search	2467
1348	greatest	2464
1349	drugs	2464
1350	beauty	2460
1351	lately	2459
1352	Tommy	2459
1353	rule	2455
1354	build	2452
1355	choose	2451
1356	cards	2449
1357	Lee	2449
1358	advice	2447
1359	immediately	2446
